64 1411
1 2 -7
1 3 -7
1 4 3
1 5 4
1 6 -13
1 7 -15
1 8 14
1 9 -6
1 10 -12
1 11 -10
1 12 11
1 13 -12
1 15 3
1 17 4
1 18 -13
1 20 14
1 21 12
1 22 -13
1 23 -11
1 25 9
1 26 -15
1 27 -15
1 29 -3
1 30 3
1 31 -12
1 32 -8
1 35 4
1 36 6
1 37 3
1 39 -15
1 41 -5
1 44 3
1 46 13
1 47 1
1 48 14
1 50 4
1 53 -15
1 55 9
1 56 -8
1 57 7
1 59 7
1 61 1
1 62 -14
1 63 9
2 3 7
2 4 -15
2 5 -2
2 6 -13
2 7 8
2 8 -7
2 9 -14
2 10 13
2 11 5
2 13 12
2 14 -3
2 15 6
2 16 -8
2 19 -6
2 20 -7
2 21 -11
2 22 15
2 23 2
2 24 6
2 25 4
2 27 12
2 28 14
2 30 2
2 31 13
2 32 12
2 33 7
2 35 9
2 36 -4
2 37 -14
2 38 -15
2 39 6
2 40 10
2 42 6
2 43 5
2 45 -5
2 47 5
2 48 11
2 49 13
2 50 1
2 52 -1
2 54 11
2 56 -7
2 58 -15
2 59 14
2 62 11
2 63 13
3 4 -11
3 5 -14
3 6 -11
3 8 9
3 9 4
3 10 7
3 11 3
3 12 12
3 13 3
3 15 -3
3 16 8
3 17 11
3 18 -6
3 19 -15
3 20 1
3 21 -1
3 22 14
3 23 -13
3 25 10
3 26 2
3 28 -7
3 29 7
3 30 -9
3 32 11
3 34 14
3 36 11
3 37 15
3 39 12
3 41 5
3 42 11
3 43 3
3 44 1
3 45 -10
3 46 5
3 47 13
3 48 -8
3 49 8
3 50 12
3 52 1
3 53 12
3 55 10
3 56 -14
3 57 14
3 58 -7
3 59 -4
3 61 14
3 62 -10
3 63 2
3 64 -12
4 5 9
4 6 -4
4 7 -7
4 8 -13
4 10 2
4 12 9
4 13 -6
4 14 7
4 15 -12
4 16 13
4 17 -7
4 18 14
4 20 15
4 21 5
4 22 -1
4 25 -8
4 26 -9
4 27 1
4 29 9
4 34 -10
4 36 9
4 37 -9
4 38 -13
4 39 -9
4 41 3
4 43 -3
4 47 -5
4 49 8
4 50 -4
4 53 13
4 54 3
4 55 -12
4 56 15
4 58 2
4 59 -15
4 62 12
4 63 10
5 6 9
5 7 15
5 8 8
5 9 -12
5 10 -3
5 11 5
5 12 5
5 13 -2
5 14 11
5 15 12
5 16 3
5 18 -5
5 19 1
5 20 11
5 21 4
5 22 14
5 26 -12
5 28 -2
5 31 12
5 33 14
5 34 11
5 35 -3
5 37 9
5 39 -2
5 40 8
5 41 -2
5 42 8
5 43 -14
5 44 9
5 45 -3
5 48 1
5 49 10
5 50 14
5 51 -3
5 53 -13
5 55 -11
5 56 1
5 57 -6
5 58 3
5 59 -15
5 60 -8
5 63 7
6 9 13
6 10 -2
6 11 6
6 14 4
6 15 -9
6 17 15
6 18 11
6 19 -10
6 21 -7
6 22 11
6 24 9
6 25 10
6 26 11
6 27 2
6 28 1
6 29 6
6 30 -14
6 32 -2
6 33 2
6 35 -5
6 36 -10
6 39 -15
6 40 -15
6 42 -1
6 43 13
6 45 7
6 46 2
6 47 -9
6 48 -10
6 50 -1
6 51 -4
6 52 -9
6 57 -9
6 59 10
6 60 5
6 62 -11
6 63 11
7 9 11
7 10 -13
7 12 5
7 13 8
7 14 -9
7 15 15
7 17 -8
7 18 -14
7 19 7
7 20 15
7 21 -4
7 22 14
7 23 12
7 24 -15
7 25 11
7 26 -2
7 28 -5
7 29 -11
7 30 -8
7 32 7
7 33 -15
7 34 -6
7 36 -14
7 39 -7
7 40 -5
7 41 -9
7 42 7
7 45 -11
7 46 14
7 47 3
7 50 8
7 51 11
7 52 4
7 55 -2
7 56 9
7 57 14
7 58 15
7 59 11
7 62 -14
7 64 15
8 9 12
8 10 -8
8 11 9
8 13 -15
8 14 -8
8 15 9
8 16 -13
8 17 1
8 18 -4
8 19 10
8 22 -4
8 26 -8
8 28 -11
8 29 9
8 30 -2
8 32 15
8 34 -5
8 36 7
8 37 -4
8 42 9
8 45 5
8 46 -14
8 51 -8
8 54 -7
8 55 9
8 56 9
8 57 13
8 58 -12
8 59 -13
8 61 13
8 62 -7
8 64 -11
9 10 -14
9 11 -1
9 12 -4
9 14 -4
9 15 6
9 16 3
9 18 -15
9 19 5
9 20 -10
9 21 -9
9 23 15
9 26 2
9 30 8
9 31 -11
9 32 -15
9 33 -1
9 34 -9
9 36 9
9 37 -14
9 39 -5
9 41 3
9 42 5
9 43 -5
9 44 -4
9 45 7
9 46 1
9 47 12
9 48 -1
9 50 -3
9 53 -11
