64 1211
1 2 14
1 3 14
1 4 14
1 5 14
1 6 14
1 7 14
1 8 14
1 9 7
1 15 14
1 17 7
1 22 14
1 25 7
1 29 14
1 33 7
1 36 14
1 41 7
1 43 14
1 49 7
1 50 12
1 51 12
1 52 12
1 53 12
1 54 12
1 55 12
1 56 12
1 57 12
1 58 12
1 59 12
1 60 12
1 61 12
1 62 12
1 63 12
1 64 12
2 3 14
2 4 14
2 5 14
2 6 14
2 7 14
2 8 7
2 9 14
2 10 7
2 16 14
2 18 7
2 23 14
2 26 7
2 30 14
2 34 7
2 37 14
2 42 7
2 44 14
2 50 12
2 51 12
2 52 12
2 53 12
2 54 12
2 55 12
2 56 12
2 57 12
2 58 12
2 59 12
2 60 12
2 61 12
2 62 12
2 63 12
2 64 12
3 4 14
3 5 14
3 6 14
3 7 14
3 9 7
3 10 14
3 11 7
3 15 7
3 17 14
3 19 7
3 24 14
3 27 7
3 31 14
3 35 7
3 38 14
3 45 14
3 50 12
3 51 12
3 52 12
3 53 12
3 54 12
3 55 12
3 56 12
3 57 12
3 58 12
3 59 12
3 60 12
3 61 12
3 62 12
3 63 12
3 64 12
4 5 14
4 6 14
4 7 14
4 10 7
4 11 14
4 12 7
4 16 7
4 18 14
4 20 7
4 22 7
4 25 14
4 28 7
4 32 14
4 39 14
4 46 14
4 50 12
4 51 12
4 52 12
4 53 12
4 54 12
4 55 12
4 56 12
4 57 12
4 58 12
4 59 12
4 60 12
4 61 12
4 62 12
4 63 12
4 64 12
5 6 14
5 7 14
5 11 7
5 12 14
5 13 7
5 17 7
5 19 14
5 21 7
5 23 7
5 26 14
5 29 7
5 33 14
5 40 14
5 47 14
5 50 12
5 51 12
5 52 12
5 53 12
5 54 12
5 55 12
5 56 12
5 57 12
5 58 12
5 59 12
5 60 12
5 61 12
5 62 12
5 63 12
5 64 12
6 7 14
6 12 7
6 13 14
6 14 7
6 18 7
6 20 14
6 24 7
6 27 14
6 30 7
6 34 14
6 36 7
6 41 14
6 48 14
6 50 12
6 51 12
6 52 12
6 53 12
6 54 12
6 55 12
6 56 12
6 57 12
6 58 12
6 59 12
6 60 12
6 61 12
6 62 12
6 63 12
6 64 12
7 13 7
7 14 14
7 19 7
7 21 14
7 25 7
7 28 14
7 31 7
7 35 14
7 37 7
7 42 14
7 43 7
7 49 14
7 50 12
7 51 12
7 52 12
7 53 12
7 54 12
7 55 12
7 56 12
7 57 12
7 58 12
7 59 12
7 60 12
7 61 12
7 62 12
