problem,problem_index,N,density,shuffle,N_runs,raw_H_nopert,raw_H_pi_elp,raw_H_sis_elp
all_to_all_graph0_n64_d0p9,0,64,0.9,1,1000,-2734.276,-2785.276,-2763.738
all_to_all_graph0_n64_d0p9,0,64,0.9,2,1000,-2713.326,-2759.312,-2744.076
all_to_all_graph0_n64_d0p9,0,64,0.9,3,1000,-2739.246,-2785.99,-2759.602
all_to_all_graph0_n64_d0p9,0,64,0.9,4,1000,-2730.196,-2762.348,-2748.348
all_to_all_graph0_n64_d0p9,0,64,0.9,5,1000,-2726.794,-2767.214,-2751.532
all_to_all_graph0_n64_d0p9,0,64,0.9,6,1000,-2726.458,-2764.922,-2754.114
all_to_all_graph0_n64_d0p9,0,64,0.9,7,1000,-2725.954,-2749.838,-2754.472
all_to_all_graph0_n64_d0p9,0,64,0.9,8,1000,-2723.81,-2747.14,-2748.654
all_to_all_graph0_n64_d0p9,0,64,0.9,9,1000,-2728.024,-2789.964,-2760.4
all_to_all_graph0_n64_d0p9,0,64,0.9,10,1000,-2718.172,-2763.548,-2752.178
all_to_all_graph1_n64_d0p9,1,64,0.9,1,1000,-2896.89,-3032.49,-2971.998
all_to_all_graph1_n64_d0p9,1,64,0.9,2,1000,-2872.866,-2987.856,-2956.038
all_to_all_graph1_n64_d0p9,1,64,0.9,3,1000,-2928.114,-2998.762,-2999.102
all_to_all_graph1_n64_d0p9,1,64,0.9,4,1000,-2884.636,-3023.244,-2959.916
all_to_all_graph1_n64_d0p9,1,64,0.9,5,1000,-2906.24,-3041.434,-2986.75
all_to_all_graph1_n64_d0p9,1,64,0.9,6,1000,-2896.766,-2997.558,-2976.306
all_to_all_graph1_n64_d0p9,1,64,0.9,7,1000,-2915.358,-3038.56,-3004.976
all_to_all_graph1_n64_d0p9,1,64,0.9,8,1000,-2886.78,-3001.488,-2952.546
all_to_all_graph1_n64_d0p9,1,64,0.9,9,1000,-2904.938,-2982.164,-2995.492
all_to_all_graph1_n64_d0p9,1,64,0.9,10,1000,-2910.214,-3036.388,-3002.156
all_to_all_graph2_n64_d0p9,2,64,0.9,1,1000,-2745.348,-2800.528,-2765.412
all_to_all_graph2_n64_d0p9,2,64,0.9,2,1000,-2728.554,-2800.152,-2765.248
all_to_all_graph2_n64_d0p9,2,64,0.9,3,1000,-2719.032,-2792.708,-2718.202
all_to_all_graph2_n64_d0p9,2,64,0.9,4,1000,-2748.882,-2787.98,-2774.818
all_to_all_graph2_n64_d0p9,2,64,0.9,5,1000,-2730.574,-2784.762,-2757.646
all_to_all_graph2_n64_d0p9,2,64,0.9,6,1000,-2740.404,-2791.67,-2784.5
all_to_all_graph2_n64_d0p9,2,64,0.9,7,1000,-2733.05,-2772.618,-2774.616
all_to_all_graph2_n64_d0p9,2,64,0.9,8,1000,-2744.918,-2791.498,-2772.856
all_to_all_graph2_n64_d0p9,2,64,0.9,9,1000,-2721.438,-2762.854,-2760.294
all_to_all_graph2_n64_d0p9,2,64,0.9,10,1000,-2737.696,-2759.216,-2754.822
all_to_all_graph3_n64_d0p9,3,64,0.9,1,1000,-2841.006,-2943.834,-2893.916
all_to_all_graph3_n64_d0p9,3,64,0.9,2,1000,-2852.962,-2953.2,-2924.18
all_to_all_graph3_n64_d0p9,3,64,0.9,3,1000,-2877.786,-2964.862,-2926.834
all_to_all_graph3_n64_d0p9,3,64,0.9,4,1000,-2878.79,-2912.532,-2933.41
all_to_all_graph3_n64_d0p9,3,64,0.9,5,1000,-2846.654,-2935.91,-2903.31
all_to_all_graph3_n64_d0p9,3,64,0.9,6,1000,-2877.214,-2992.45,-2956.038
all_to_all_graph3_n64_d0p9,3,64,0.9,7,1000,-2844.718,-2900.464,-2908.392
all_to_all_graph3_n64_d0p9,3,64,0.9,8,1000,-2860.982,-2990.228,-2916.344
all_to_all_graph3_n64_d0p9,3,64,0.9,9,1000,-2811.73,-2891.028,-2848.632
all_to_all_graph3_n64_d0p9,3,64,0.9,10,1000,-2887.514,-2929.562,-2953.522
all_to_all_graph4_n64_d0p9,4,64,0.9,1,1000,-2818.0,-2902.716,-2888.426
all_to_all_graph4_n64_d0p9,4,64,0.9,2,1000,-2812.952,-2904.72,-2838.384
all_to_all_graph4_n64_d0p9,4,64,0.9,3,1000,-2829.476,-2915.12,-2897.9
all_to_all_graph4_n64_d0p9,4,64,0.9,4,1000,-2821.634,-2899.956,-2856.744
all_to_all_graph4_n64_d0p9,4,64,0.9,5,1000,-2801.15,-2863.218,-2874.334
all_to_all_graph4_n64_d0p9,4,64,0.9,6,1000,-2823.59,-2885.78,-2856.656
all_to_all_graph4_n64_d0p9,4,64,0.9,7,1000,-2796.362,-2892.196,-2839.778
all_to_all_graph4_n64_d0p9,4,64,0.9,8,1000,-2801.49,-2890.682,-2852.64
all_to_all_graph4_n64_d0p9,4,64,0.9,9,1000,-2830.328,-2899.696,-2873.094
all_to_all_graph4_n64_d0p9,4,64,0.9,10,1000,-2785.22,-2898.376,-2826.19
all_to_all_graph5_n64_d0p9,5,64,0.9,1,1000,-2960.668,-3039.382,-3017.454
all_to_all_graph5_n64_d0p9,5,64,0.9,2,1000,-2952.65,-3020.24,-2993.508
all_to_all_graph5_n64_d0p9,5,64,0.9,3,1000,-2943.222,-3014.836,-2994.602
all_to_all_graph5_n64_d0p9,5,64,0.9,4,1000,-2952.798,-3050.636,-2989.236
all_to_all_graph5_n64_d0p9,5,64,0.9,5,1000,-2948.962,-3038.466,-2991.444
all_to_all_graph5_n64_d0p9,5,64,0.9,6,1000,-2955.982,-3026.028,-2993.87
all_to_all_graph5_n64_d0p9,5,64,0.9,7,1000,-2947.716,-3041.814,-2979.274
all_to_all_graph5_n64_d0p9,5,64,0.9,8,1000,-2957.532,-3035.504,-3004.214
all_to_all_graph5_n64_d0p9,5,64,0.9,9,1000,-2951.36,-3031.244,-2995.974
all_to_all_graph5_n64_d0p9,5,64,0.9,10,1000,-2954.702,-3035.716,-3011.458
all_to_all_graph6_n64_d0p9,6,64,0.9,1,1000,-2795.1,-2826.48,-2828.682
all_to_all_graph6_n64_d0p9,6,64,0.9,2,1000,-2785.012,-2843.14,-2845.61
all_to_all_graph6_n64_d0p9,6,64,0.9,3,1000,-2795.274,-2831.114,-2848.948
all_to_all_graph6_n64_d0p9,6,64,0.9,4,1000,-2789.47,-2845.334,-2833.158
all_to_all_graph6_n64_d0p9,6,64,0.9,5,1000,-2811.554,-2858.144,-2847.042
all_to_all_graph6_n64_d0p9,6,64,0.9,6,1000,-2793.292,-2820.98,-2828.752
all_to_all_graph6_n64_d0p9,6,64,0.9,7,1000,-2776.488,-2849.556,-2808.974
all_to_all_graph6_n64_d0p9,6,64,0.9,8,1000,-2765.584,-2832.704,-2798.292
all_to_all_graph6_n64_d0p9,6,64,0.9,9,1000,-2768.384,-2829.838,-2829.414
all_to_all_graph6_n64_d0p9,6,64,0.9,10,1000,-2795.398,-2868.614,-2835.714
all_to_all_graph7_n64_d0p9,7,64,0.9,1,1000,-3036.26,-3173.226,-3107.342
all_to_all_graph7_n64_d0p9,7,64,0.9,2,1000,-3049.524,-3164.726,-3114.622
all_to_all_graph7_n64_d0p9,7,64,0.9,3,1000,-3024.71,-3156.468,-3120.482
all_to_all_graph7_n64_d0p9,7,64,0.9,4,1000,-3012.554,-3168.734,-3085.076
all_to_all_graph7_n64_d0p9,7,64,0.9,5,1000,-3007.618,-3158.216,-3058.1
all_to_all_graph7_n64_d0p9,7,64,0.9,6,1000,-3010.896,-3134.762,-3095.01
all_to_all_graph7_n64_d0p9,7,64,0.9,7,1000,-3050.38,-3164.862,-3144.034
all_to_all_graph7_n64_d0p9,7,64,0.9,8,1000,-3008.358,-3166.694,-3090.818
all_to_all_graph7_n64_d0p9,7,64,0.9,9,1000,-3047.088,-3173.318,-3109.908
all_to_all_graph7_n64_d0p9,7,64,0.9,10,1000,-3023.56,-3166.852,-3090.6
all_to_all_graph8_n64_d0p9,8,64,0.9,1,1000,-2823.412,-2843.122,-2838.396
all_to_all_graph8_n64_d0p9,8,64,0.9,2,1000,-2818.956,-2888.834,-2843.64
all_to_all_graph8_n64_d0p9,8,64,0.9,3,1000,-2813.1,-2873.872,-2839.46
all_to_all_graph8_n64_d0p9,8,64,0.9,4,1000,-2847.008,-2882.794,-2874.888
all_to_all_graph8_n64_d0p9,8,64,0.9,5,1000,-2828.142,-2866.21,-2860.786
all_to_all_graph8_n64_d0p9,8,64,0.9,6,1000,-2847.664,-2887.756,-2883.562
all_to_all_graph8_n64_d0p9,8,64,0.9,7,1000,-2822.846,-2855.336,-2854.276
all_to_all_graph8_n64_d0p9,8,64,0.9,8,1000,-2804.612,-2877.43,-2844.402
all_to_all_graph8_n64_d0p9,8,64,0.9,9,1000,-2828.79,-2870.948,-2839.74
all_to_all_graph8_n64_d0p9,8,64,0.9,10,1000,-2825.946,-2864.624,-2869.572
all_to_all_graph9_n64_d0p9,9,64,0.9,1,1000,-2792.776,-2863.524,-2833.374
all_to_all_graph9_n64_d0p9,9,64,0.9,2,1000,-2775.674,-2875.026,-2818.942
all_to_all_graph9_n64_d0p9,9,64,0.9,3,1000,-2785.492,-2883.064,-2838.176
all_to_all_graph9_n64_d0p9,9,64,0.9,4,1000,-2801.504,-2851.726,-2839.874
all_to_all_graph9_n64_d0p9,9,64,0.9,5,1000,-2784.464,-2857.228,-2818.88
all_to_all_graph9_n64_d0p9,9,64,0.9,6,1000,-2786.244,-2870.47,-2824.342
all_to_all_graph9_n64_d0p9,9,64,0.9,7,1000,-2797.492,-2890.038,-2833.104
all_to_all_graph9_n64_d0p9,9,64,0.9,8,1000,-2788.572,-2870.63,-2827.064
all_to_all_graph9_n64_d0p9,9,64,0.9,9,1000,-2768.102,-2862.436,-2813.632
all_to_all_graph9_n64_d0p9,9,64,0.9,10,1000,-2756.088,-2872.082,-2792.786
all_to_all_graph10_n64_d0p9,10,64,0.9,1,1000,-2966.794,-3035.92,-3020.66
all_to_all_graph10_n64_d0p9,10,64,0.9,2,1000,-2976.086,-3043.696,-3008.342
all_to_all_graph10_n64_d0p9,10,64,0.9,3,1000,-2955.368,-3007.376,-3003.774
all_to_all_graph10_n64_d0p9,10,64,0.9,4,1000,-2971.278,-3048.828,-3030.258
all_to_all_graph10_n64_d0p9,10,64,0.9,5,1000,-2963.638,-3014.99,-2998.616
all_to_all_graph10_n64_d0p9,10,64,0.9,6,1000,-2934.9,-3011.108,-2984.996
all_to_all_graph10_n64_d0p9,10,64,0.9,7,1000,-2959.178,-3016.358,-3006.992
all_to_all_graph10_n64_d0p9,10,64,0.9,8,1000,-2937.116,-3038.008,-2995.334
all_to_all_graph10_n64_d0p9,10,64,0.9,9,1000,-2938.024,-3011.164,-2976.412
all_to_all_graph10_n64_d0p9,10,64,0.9,10,1000,-2932.308,-3019.794,-2983.724
all_to_all_graph11_n64_d0p9,11,64,0.9,1,1000,-2861.368,-2900.016,-2937.32
all_to_all_graph11_n64_d0p9,11,64,0.9,2,1000,-2863.988,-2967.814,-2899.068
all_to_all_graph11_n64_d0p9,11,64,0.9,3,1000,-2856.604,-2943.838,-2922.122
all_to_all_graph11_n64_d0p9,11,64,0.9,4,1000,-2825.056,-2898.314,-2877.29
all_to_all_graph11_n64_d0p9,11,64,0.9,5,1000,-2842.74,-2935.192,-2896.078
all_to_all_graph11_n64_d0p9,11,64,0.9,6,1000,-2848.438,-2939.424,-2896.956
all_to_all_graph11_n64_d0p9,11,64,0.9,7,1000,-2854.026,-2932.716,-2890.804
all_to_all_graph11_n64_d0p9,11,64,0.9,8,1000,-2839.726,-2927.426,-2894.932
all_to_all_graph11_n64_d0p9,11,64,0.9,9,1000,-2871.472,-2919.686,-2927.912
all_to_all_graph11_n64_d0p9,11,64,0.9,10,1000,-2825.552,-2914.528,-2891.042
all_to_all_graph12_n64_d0p9,12,64,0.9,1,1000,-2860.298,-2961.506,-2916.926
all_to_all_graph12_n64_d0p9,12,64,0.9,2,1000,-2873.662,-2961.972,-2926.73
all_to_all_graph12_n64_d0p9,12,64,0.9,3,1000,-2853.336,-2955.67,-2899.588
all_to_all_graph12_n64_d0p9,12,64,0.9,4,1000,-2867.116,-2938.428,-2910.708
