problem,N,density,shuffle,N_runs,raw_H_pert,raw_H_nopert,raw_dH,raw_SR99_pert,raw_SR99_nopert,post_H_pert,post_H_nopert,post_dH,post_SR99_pert,post_SR99_nopert
all_to_all_graph0_n16_d0p1,16,0.1,1,1000,-82.87399999999998,-82.034,-0.8399999999999892,0.328,0.326,-84.138,-83.164,-0.9740000000000036,0.639,0.64
all_to_all_graph0_n16_d0p1,16,0.1,2,1000,-80.81999999999998,-77.81999999999998,-3.0,0.315,0.4069999999999999,-84.89,-85.358,0.4680000000000035,0.696,0.7179999999999999
all_to_all_graph0_n16_d0p1,16,0.1,3,1000,-76.98399999999998,-75.824,-1.1599999999999966,0.2079999999999999,0.227,-82.584,-81.778,-0.8059999999999973,0.552,0.55
all_to_all_graph0_n16_d0p1,16,0.1,4,1000,-76.144,-76.86199999999998,0.7179999999999893,0.1719999999999999,0.2109999999999999,-83.738,-82.854,-0.8840000000000003,0.634,0.5999999999999999
all_to_all_graph0_n16_d0p1,16,0.1,5,1000,-82.724,-77.89799999999998,-4.826000000000008,0.313,0.257,-85.206,-84.54,-0.6659999999999968,0.66,0.63
all_to_all_graph0_n16_d0p1,16,0.1,6,1000,-83.80599999999998,-83.342,-0.4639999999999986,0.335,0.464,-84.816,-84.98999999999998,0.1739999999999923,0.653,0.659
all_to_all_graph0_n16_d0p1,16,0.1,7,1000,-82.00199999999998,-80.414,-1.587999999999994,0.276,0.255,-83.744,-83.834,0.0900000000000034,0.5749999999999998,0.557
all_to_all_graph0_n16_d0p1,16,0.1,8,1000,-83.0,-79.012,-3.988,0.2849999999999999,0.252,-84.43,-85.248,0.8179999999999978,0.5839999999999999,0.6039999999999999
all_to_all_graph0_n16_d0p1,16,0.1,9,1000,-78.304,-76.658,-1.6460000000000008,0.2369999999999999,0.234,-84.54999999999998,-84.168,-0.3819999999999907,0.628,0.6159999999999999
all_to_all_graph0_n16_d0p1,16,0.1,10,1000,-82.78,-80.474,-2.3059999999999974,0.2919999999999999,0.248,-84.034,-83.652,-0.382000000000005,0.551,0.539
all_to_all_graph1_n16_d0p1,16,0.1,1,1000,-86.554,-86.388,-0.1659999999999968,0.553,0.546,-87.394,-87.182,-0.2120000000000033,0.691,0.685
all_to_all_graph1_n16_d0p1,16,0.1,2,1000,-85.28199999999998,-85.60599999999998,0.323999999999998,0.522,0.533,-86.00199999999998,-86.342,0.3400000000000034,0.638,0.659
all_to_all_graph1_n16_d0p1,16,0.1,3,1000,-86.44,-86.102,-0.3379999999999938,0.542,0.561,-87.44799999999998,-86.64799999999998,-0.799999999999997,0.692,0.658
all_to_all_graph1_n16_d0p1,16,0.1,4,1000,-87.098,-87.342,0.2439999999999997,0.672,0.7019999999999998,-87.47799999999998,-87.342,-0.1359999999999956,0.7009999999999998,0.7019999999999998
all_to_all_graph1_n16_d0p1,16,0.1,5,1000,-85.604,-85.406,-0.1979999999999932,0.52,0.51,-86.348,-86.202,-0.1460000000000008,0.644,0.637
all_to_all_graph1_n16_d0p1,16,0.1,6,1000,-85.464,-85.61199999999998,0.1479999999999961,0.527,0.52,-86.324,-86.396,0.0720000000000027,0.657,0.66
all_to_all_graph1_n16_d0p1,16,0.1,7,1000,-87.554,-87.584,0.0300000000000011,0.686,0.7109999999999999,-87.706,-87.70999999999998,0.0039999999999906,0.7129999999999999,0.7109999999999999
all_to_all_graph1_n16_d0p1,16,0.1,8,1000,-87.14,-86.738,-0.402000000000001,0.5799999999999998,0.559,-87.95999999999998,-87.54999999999998,-0.4099999999999965,0.7259999999999999,0.7069999999999999
all_to_all_graph1_n16_d0p1,16,0.1,9,1000,-86.97,-87.02599999999998,0.0559999999999973,0.574,0.5769999999999998,-87.754,-87.816,0.0619999999999976,0.7089999999999999,0.7119999999999999
all_to_all_graph1_n16_d0p1,16,0.1,10,1000,-86.12999999999998,-85.97799999999998,-0.152000000000001,0.544,0.549,-86.98,-86.65399999999998,-0.3260000000000076,0.684,0.669
all_to_all_graph2_n16_d0p1,16,0.1,1,1000,-88.70399999999998,-87.78,-0.9239999999999924,0.668,0.635,-88.70399999999998,-87.78,-0.9239999999999924,0.668,0.635
all_to_all_graph2_n16_d0p1,16,0.1,2,1000,-88.48,-87.388,-1.0919999999999987,0.66,0.621,-88.48,-87.388,-1.0919999999999987,0.66,0.621
all_to_all_graph2_n16_d0p1,16,0.1,3,1000,-90.048,-89.59999999999998,-0.4480000000000075,0.7159999999999999,0.6999999999999998,-90.048,-89.59999999999998,-0.4480000000000075,0.7159999999999999,0.6999999999999998
all_to_all_graph2_n16_d0p1,16,0.1,4,1000,-92.112,-90.524,-1.587999999999994,0.789,0.7279999999999999,-92.12,-90.86000000000001,-1.2600000000000051,0.79,0.745
all_to_all_graph2_n16_d0p1,16,0.1,5,1000,-89.096,-89.712,0.6159999999999995,0.682,0.7039999999999998,-89.096,-89.712,0.6159999999999995,0.682,0.7039999999999998
all_to_all_graph2_n16_d0p1,16,0.1,6,1000,-87.33199999999998,-87.5,0.1680000000000063,0.6189999999999999,0.625,-87.33199999999998,-87.5,0.1680000000000063,0.6189999999999999,0.625
all_to_all_graph2_n16_d0p1,16,0.1,7,1000,-88.76,-89.304,0.5439999999999969,0.67,0.688,-88.76,-89.376,0.6159999999999995,0.67,0.692
all_to_all_graph2_n16_d0p1,16,0.1,8,1000,-87.41599999999998,-88.26399999999998,0.8479999999999989,0.622,0.648,-87.41599999999998,-88.36799999999998,0.951999999999998,0.622,0.656
all_to_all_graph2_n16_d0p1,16,0.1,9,1000,-88.9,-88.956,0.0559999999999973,0.675,0.677,-88.9,-88.956,0.0559999999999973,0.675,0.677
all_to_all_graph2_n16_d0p1,16,0.1,10,1000,-89.26399999999998,-89.012,-0.2519999999999953,0.688,0.679,-89.26399999999998,-89.012,-0.2519999999999953,0.688,0.679
all_to_all_graph3_n16_d0p1,16,0.1,1,1000,-80.452,-80.03799999999998,-0.4140000000000014,0.467,0.446,-80.452,-80.03799999999998,-0.4140000000000014,0.467,0.446
all_to_all_graph3_n16_d0p1,16,0.1,2,1000,-77.69799999999998,-77.39799999999998,-0.2999999999999971,0.403,0.385,-79.074,-78.59399999999998,-0.4800000000000039,0.403,0.385
all_to_all_graph3_n16_d0p1,16,0.1,3,1000,-79.048,-78.742,-0.3059999999999973,0.4729999999999999,0.459,-80.352,-80.138,-0.2139999999999986,0.4729999999999999,0.459
all_to_all_graph3_n16_d0p1,16,0.1,4,1000,-79.004,-79.194,0.1899999999999977,0.441,0.456,-79.816,-80.042,0.225999999999999,0.441,0.456
all_to_all_graph3_n16_d0p1,16,0.1,5,1000,-82.51999999999998,-80.568,-1.9519999999999984,0.6129999999999999,0.522,-83.27599999999998,-81.352,-1.9239999999999924,0.6149999999999999,0.522
all_to_all_graph3_n16_d0p1,16,0.1,6,1000,-80.628,-80.42799999999998,-0.2000000000000028,0.502,0.503,-81.072,-81.116,0.0439999999999969,0.502,0.503
all_to_all_graph3_n16_d0p1,16,0.1,7,1000,-80.126,-79.976,-0.1500000000000056,0.4759999999999999,0.4709999999999999,-80.546,-80.41599999999998,-0.1300000000000096,0.4759999999999999,0.4709999999999999
all_to_all_graph3_n16_d0p1,16,0.1,8,1000,-80.558,-80.006,-0.5520000000000067,0.508,0.495,-81.17799999999998,-80.97799999999998,-0.2000000000000028,0.508,0.495
all_to_all_graph3_n16_d0p1,16,0.1,9,1000,-80.40999999999998,-80.592,0.1820000000000021,0.4809999999999999,0.4929999999999999,-80.774,-81.06,0.2860000000000013,0.4809999999999999,0.4929999999999999
all_to_all_graph3_n16_d0p1,16,0.1,10,1000,-80.034,-80.628,0.593999999999994,0.458,0.4899999999999999,-80.33799999999998,-81.004,0.666000000000011,0.458,0.4929999999999999
all_to_all_graph4_n16_d0p1,16,0.1,1,1000,-58.972,-57.948,-1.024000000000001,0.138,0.114,-59.858,-58.87,-0.9879999999999995,0.2059999999999999,0.184
all_to_all_graph4_n16_d0p1,16,0.1,2,1000,-60.29,-60.622,0.3320000000000007,0.188,0.2369999999999999,-61.35,-61.288,-0.0620000000000047,0.264,0.275
all_to_all_graph4_n16_d0p1,16,0.1,3,1000,-58.932,-58.926,-0.0060000000000002,0.152,0.1469999999999999,-59.796,-59.778,-0.0180000000000006,0.216,0.2059999999999999
all_to_all_graph4_n16_d0p1,16,0.1,4,1000,-58.406,-58.61,0.2040000000000006,0.139,0.1449999999999999,-59.986,-59.974,-0.0120000000000004,0.214,0.224
all_to_all_graph4_n16_d0p1,16,0.1,5,1000,-57.342,-57.676,0.3340000000000031,0.122,0.125,-58.946,-59.174,0.2280000000000015,0.189,0.198
all_to_all_graph4_n16_d0p1,16,0.1,6,1000,-58.684,-58.648,-0.0359999999999942,0.155,0.158,-59.81,-59.778,-0.0320000000000035,0.215,0.2109999999999999
all_to_all_graph4_n16_d0p1,16,0.1,7,1000,-59.536,-59.81,0.2740000000000009,0.188,0.227,-59.606,-59.81,0.2040000000000006,0.192,0.227
all_to_all_graph4_n16_d0p1,16,0.1,8,1000,-58.942,-58.714,-0.2280000000000015,0.164,0.1719999999999999,-59.894,-59.624,-0.269999999999996,0.2039999999999999,0.2089999999999999
all_to_all_graph4_n16_d0p1,16,0.1,9,1000,-57.886,-56.624,-1.2620000000000005,0.1469999999999999,0.115,-58.89,-57.466,-1.4239999999999997,0.188,0.1489999999999999
all_to_all_graph4_n16_d0p1,16,0.1,10,1000,-60.2,-60.548,0.3479999999999989,0.195,0.2099999999999999,-61.146,-61.53,0.3840000000000003,0.262,0.273
all_to_all_graph5_n16_d0p1,16,0.1,1,1000,-71.612,-71.722,0.1099999999999994,0.14,0.1449999999999999,-72.604,-72.724,0.1200000000000045,0.2869999999999999,0.2929999999999999
all_to_all_graph5_n16_d0p1,16,0.1,2,1000,-71.478,-71.436,-0.0419999999999873,0.1439999999999999,0.1439999999999999,-72.47199999999998,-72.424,-0.0479999999999876,0.276,0.273
all_to_all_graph5_n16_d0p1,16,0.1,3,1000,-71.328,-71.3,-0.0280000000000057,0.1419999999999999,0.151,-72.328,-72.17199999999998,-0.1560000000000059,0.274,0.263
all_to_all_graph5_n16_d0p1,16,0.1,4,1000,-71.316,-71.528,0.2120000000000033,0.139,0.1429999999999999,-72.302,-72.528,0.225999999999999,0.269,0.2849999999999999
all_to_all_graph5_n16_d0p1,16,0.1,5,1000,-71.758,-71.786,0.0280000000000057,0.151,0.1499999999999999,-72.762,-72.78799999999998,0.0259999999999962,0.3059999999999999,0.2999999999999999
all_to_all_graph5_n16_d0p1,16,0.1,6,1000,-71.922,-73.226,1.304000000000002,0.198,0.28,-73.45,-73.99599999999998,0.5459999999999922,0.3559999999999999,0.4099999999999999
all_to_all_graph5_n16_d0p1,16,0.1,7,1000,-71.912,-72.102,0.1899999999999977,0.167,0.1759999999999999,-72.9,-73.078,0.1779999999999972,0.316,0.331
all_to_all_graph5_n16_d0p1,16,0.1,8,1000,-71.58,-71.922,0.3419999999999987,0.1409999999999999,0.2079999999999999,-72.568,-72.458,-0.1099999999999994,0.2829999999999999,0.2849999999999999
all_to_all_graph5_n16_d0p1,16,0.1,9,1000,-71.088,-70.348,-0.7399999999999948,0.131,0.1409999999999999,-72.36199999999998,-72.272,-0.0899999999999892,0.272,0.275
all_to_all_graph5_n16_d0p1,16,0.1,10,1000,-71.54,-71.544,0.0039999999999906,0.151,0.137,-72.53199999999998,-72.54399999999998,0.0120000000000004,0.28,0.2849999999999999
all_to_all_graph6_n16_d0p1,16,0.1,1,1000,-103.306,-103.086,-0.2199999999999988,0.169,0.154,-103.508,-103.292,-0.2159999999999939,0.169,0.154
all_to_all_graph6_n16_d0p1,16,0.1,2,1000,-104.058,-104.046,-0.0120000000000004,0.2119999999999999,0.219,-104.19,-104.218,0.0280000000000057,0.2119999999999999,0.219
all_to_all_graph6_n16_d0p1,16,0.1,3,1000,-103.918,-104.244,0.3259999999999934,0.196,0.195,-104.088,-104.38,0.2920000000000015,0.196,0.195
all_to_all_graph6_n16_d0p1,16,0.1,4,1000,-105.142,-104.946,-0.1959999999999979,0.219,0.2039999999999999,-105.296,-105.144,-0.152000000000001,0.219,0.2039999999999999
all_to_all_graph6_n16_d0p1,16,0.1,5,1000,-103.78,-104.038,0.2579999999999955,0.196,0.2039999999999999,-104.012,-104.28,0.2680000000000006,0.196,0.2039999999999999
all_to_all_graph6_n16_d0p1,16,0.1,6,1000,-103.722,-103.506,-0.2159999999999939,0.199,0.188,-103.87,-103.678,-0.1920000000000072,0.199,0.188
all_to_all_graph6_n16_d0p1,16,0.1,7,1000,-104.342,-104.19,-0.152000000000001,0.19,0.197,-104.504,-104.382,-0.1219999999999998,0.19,0.197
all_to_all_graph6_n16_d0p1,16,0.1,8,1000,-104.628,-104.516,-0.1119999999999947,0.232,0.201,-105.048,-104.672,-0.3760000000000047,0.232,0.201
all_to_all_graph6_n16_d0p1,16,0.1,9,1000,-102.928,-102.894,-0.0339999999999918,0.168,0.162,-103.428,-103.32,-0.108000000000004,0.168,0.162
all_to_all_graph6_n16_d0p1,16,0.1,10,1000,-103.164,-103.68,0.5160000000000053,0.1749999999999999,0.1769999999999999,-103.356,-103.84,0.4840000000000088,0.1749999999999999,0.1769999999999999
all_to_all_graph7_n16_d0p1,16,0.1,1,1000,-93.992,-93.996,0.0039999999999906,0.496,0.498,-93.992,-93.996,0.0039999999999906,0.496,0.498
all_to_all_graph7_n16_d0p1,16,0.1,2,1000,-94.036,-91.84200000000001,-2.1940000000000026,0.518,0.458,-94.036,-93.998,-0.0379999999999967,0.518,0.499
all_to_all_graph7_n16_d0p1,16,0.1,3,1000,-93.996,-94.036,0.0400000000000062,0.498,0.518,-93.996,-94.036,0.0400000000000062,0.498,0.518
all_to_all_graph7_n16_d0p1,16,0.1,4,1000,-93.99,-93.966,-0.0240000000000009,0.495,0.4829999999999999,-93.99,-93.966,-0.0240000000000009,0.495,0.4829999999999999
all_to_all_graph7_n16_d0p1,16,0.1,5,1000,-94.014,-93.994,-0.019999999999996,0.507,0.497,-94.014,-93.994,-0.019999999999996,0.507,0.497
all_to_all_graph7_n16_d0p1,16,0.1,6,1000,-94.034,-94.034,0.0,0.517,0.517,-94.034,-94.034,0.0,0.517,0.517
all_to_all_graph7_n16_d0p1,16,0.1,7,1000,-93.954,-93.95,-0.0039999999999906,0.4769999999999999,0.4749999999999999,-93.954,-93.95,-0.0039999999999906,0.4769999999999999,0.4749999999999999
all_to_all_graph7_n16_d0p1,16,0.1,8,1000,-90.974,-90.718,-0.2560000000000002,0.4859999999999999,0.467,-94.054,-94.022,-0.0319999999999964,0.527,0.511
all_to_all_graph7_n16_d0p1,16,0.1,9,1000,-91.624,-90.812,-0.8119999999999976,0.4709999999999999,0.4729999999999999,-94.036,-94.06,0.0240000000000009,0.518,0.53
all_to_all_graph7_n16_d0p1,16,0.1,10,1000,-91.366,-90.754,-0.6119999999999947,0.447,0.454,-93.998,-94.03,0.0319999999999964,0.499,0.515
all_to_all_graph8_n16_d0p1,16,0.1,1,1000,-90.438,-90.47000000000001,0.0319999999999964,0.133,0.129,-91.306,-91.33,0.0240000000000009,0.167,0.157
all_to_all_graph8_n16_d0p1,16,0.1,2,1000,-92.016,-92.252,0.23599999999999,0.169,0.1749999999999999,-92.97600000000001,-93.184,0.2079999999999984,0.22,0.227
all_to_all_graph8_n16_d0p1,16,0.1,3,1000,-90.646,-90.588,-0.0580000000000069,0.155,0.155,-91.87,-91.462,-0.4080000000000012,0.1799999999999999,0.163
all_to_all_graph8_n16_d0p1,16,0.1,4,1000,-90.86000000000001,-90.914,0.054000000000002,0.139,0.1459999999999999,-91.784,-91.81,0.0259999999999962,0.1759999999999999,0.182
all_to_all_graph8_n16_d0p1,16,0.1,5,1000,-90.00799999999998,-90.174,0.166000000000011,0.113,0.117,-90.808,-90.958,0.1499999999999914,0.1439999999999999,0.1499999999999999
all_to_all_graph8_n16_d0p1,16,0.1,6,1000,-90.746,-90.734,-0.0120000000000004,0.132,0.129,-91.558,-91.614,0.0559999999999973,0.163,0.169
all_to_all_graph8_n16_d0p1,16,0.1,7,1000,-91.222,-90.658,-0.563999999999993,0.1419999999999999,0.138,-92.254,-91.694,-0.5600000000000022,0.19,0.1789999999999999
all_to_all_graph8_n16_d0p1,16,0.1,8,1000,-90.746,-90.856,0.1099999999999994,0.134,0.138,-91.666,-91.796,0.1300000000000096,0.186,0.189
all_to_all_graph8_n16_d0p1,16,0.1,9,1000,-90.972,-91.09800000000001,0.1260000000000047,0.13,0.138,-91.84800000000001,-91.958,0.1099999999999994,0.167,0.1729999999999999
all_to_all_graph8_n16_d0p1,16,0.1,10,1000,-91.48200000000001,-91.71400000000001,0.2319999999999993,0.16,0.158,-92.462,-92.706,0.2439999999999997,0.2,0.2109999999999999
all_to_all_graph9_n16_d0p1,16,0.1,1,1000,-67.988,-68.342,0.3539999999999992,0.249,0.271,-68.464,-68.342,-0.1219999999999998,0.2819999999999999,0.271
all_to_all_graph9_n16_d0p1,16,0.1,2,1000,-68.11,-68.018,-0.0919999999999987,0.275,0.259,-68.11,-68.044,-0.0660000000000025,0.275,0.259
all_to_all_graph9_n16_d0p1,16,0.1,3,1000,-66.912,-66.514,-0.3980000000000103,0.275,0.262,-67.062,-66.514,-0.5480000000000018,0.28,0.262
all_to_all_graph9_n16_d0p1,16,0.1,4,1000,-66.794,-66.286,-0.5079999999999955,0.281,0.2899999999999999,-66.794,-66.286,-0.5079999999999955,0.281,0.2899999999999999
all_to_all_graph9_n16_d0p1,16,0.1,5,1000,-68.152,-68.206,0.054000000000002,0.278,0.2819999999999999,-68.152,-68.206,0.054000000000002,0.278,0.2819999999999999
all_to_all_graph9_n16_d0p1,16,0.1,6,1000,-68.004,-67.838,-0.166000000000011,0.32,0.316,-68.004,-67.838,-0.166000000000011,0.32,0.316
