problem,N,density,N_shuffles,mean_raw_SR99_nopert,mean_raw_SR99_pert,raw_TTS99_nopert_us,raw_TTS99_pert_us,raw_ETS99_nopert_nJ,raw_ETS99_pert_nJ
all_to_all_graph0_n64_d0p1,64,0.1,10,0.017899999999999992,0.01699999999999997,764.8876823121908,805.7495962178302,24170.45076106523,25461.687240483436
all_to_all_graph1_n64_d0p1,64,0.1,10,0.0014,0.0036999999999999997,9861.312458899827,3727.0097494622223,311617.47370123456,117773.50808300624
all_to_all_graph2_n64_d0p1,64,0.1,10,0.02129999999999997,0.029200000000000004,641.6829766007585,466.1920501080902,20277.182060583968,14731.668783415651
all_to_all_graph3_n64_d0p1,64,0.1,10,0.0038999999999999903,0.00599999999999998,3535.526350509031,2295.670409157431,111722.63267608538,72543.18492937482
all_to_all_graph4_n64_d0p1,64,0.1,10,0.01319999999999997,0.01329999999999995,1039.7065342369071,1031.8370221663195,32854.72648188627,32606.049900455695
all_to_all_graph5_n64_d0p1,64,0.1,10,0.0005,0.0016,27624.112784862376,8627.784499905218,872921.9640016512,272637.99019700487
all_to_all_graph6_n64_d0p1,64,0.1,10,0.0075999999999999705,0.00969999999999996,1810.9137980616872,1417.3604616511093,57224.87601874932,44788.59058817506
all_to_all_graph7_n64_d0p1,64,0.1,10,0.01429999999999998,0.018799999999999963,959.1952818847121,727.9379773798507,30310.570907556903,23002.840085203283
all_to_all_graph8_n64_d0p1,64,0.1,10,0.00899999999999999,0.01399999999999997,1528.1385648559597,979.8981954999753,48289.178649448324,30964.78297779922
all_to_all_graph9_n64_d0p1,64,0.1,10,0.0013000000000000002,0.0019,10620.406560885998,7264.4114014815295,335604.8473239976,229555.40028681635
all_to_all_graph10_n64_d0p1,64,0.1,10,0.006,0.00789999999999999,2295.670409157431,1741.8819182086515,72543.18492937482,55043.468615393394
all_to_all_graph11_n64_d0p1,64,0.1,10,0.0021000000000000003,0.0038,6571.904375876276,3628.7485346254184,207672.17827769034,114668.45369416323
all_to_all_graph12_n64_d0p1,64,0.1,10,0.0017000000000000001,0.0038999999999999903,8119.861202307684,3535.526350509031,256587.61399292282,111722.63267608538
all_to_all_graph13_n64_d0p1,64,0.1,10,0.00989999999999998,0.01679999999999996,1388.5869071155469,815.4245577126934,43879.34626485128,25767.41602372111
all_to_all_graph14_n64_d0p1,64,0.1,10,0.0046,0.006199999999999981,2996.4587969860104,2221.3932390024866,94688.09798475793,70196.02635247858
all_to_all_graph15_n64_d0p1,64,0.1,10,0.00439999999999999,0.01179999999999997,3132.9759310318755,1163.8845582004099,99002.03942060727,36778.75203913295
all_to_all_graph16_n64_d0p1,64,0.1,10,0.006900000000000001,0.00799999999999997,1995.3321802269104,1720.0218170970866,63052.49689517037,54352.68942026794
all_to_all_graph17_n64_d0p1,64,0.1,10,0.0028,0.0055999999999999705,4927.199930139427,2460.141236145571,155699.5177924059,77740.46306220004
all_to_all_graph18_n64_d0p1,64,0.1,10,0.004200000000000001,0.00829999999999998,3282.4946748166244,1657.6019934599633,103726.83172420533,52380.22299333484
all_to_all_graph19_n64_d0p1,64,0.1,10,0.011499999999999951,0.01739999999999996,1194.4276723392795,787.0668956565052,37743.91444592123,24871.313902745565
all_to_all_graph0_n64_d0p3,64,0.3,10,0.00859999999999997,0.01139999999999995,1599.537016839371,1204.9659356799507,50545.36973212413,38076.92356748645
all_to_all_graph1_n64_d0p3,64,0.3,10,0.02169999999999998,0.03059999999999997,629.7264595401789,444.54373861444276,19899.356121469653,14047.582140216391
all_to_all_graph2_n64_d0p3,64,0.3,10,0.01089999999999999,0.01209999999999998,1260.5576596046603,1134.8559612125246,39833.62204350727,35861.448374315776
all_to_all_graph3_n64_d0p3,64,0.3,10,0.02339999999999998,0.03559999999999996,583.4714186252419,381.1266515473434,18437.696828557644,12043.602188896051
all_to_all_graph4_n64_d0p3,64,0.3,10,0.0039999999999999905,0.005199999999999981,3446.9652698081577,2649.9151958375255,108924.1025259378,83737.3201884658
all_to_all_graph5_n64_d0p3,64,0.3,10,0.07879999999999995,0.10679999999999998,168.3214974571097,122.32095298898037,5318.959319644667,3865.3421144517797
all_to_all_graph6_n64_d0p3,64,0.3,10,0.015299999999999949,0.01239999999999997,896.049040144077,1107.2319567359648,28315.149668552836,34988.52983285649
all_to_all_graph7_n64_d0p3,64,0.3,10,0.005,0.008199999999999982,2756.1885854142465,1677.9011259408405,87095.5592990902,53021.67557973056
all_to_all_graph8_n64_d0p3,64,0.3,10,0.01729999999999997,0.026499999999999968,791.6565784794607,514.4013453611952,25016.347879950958,16255.08251341377
all_to_all_graph9_n64_d0p3,64,0.3,10,0.027599999999999958,0.04419999999999995,493.6219994616669,305.60831265140115,15598.455182988675,9657.222679784276
all_to_all_graph10_n64_d0p3,64,0.3,10,0.043199999999999975,0.06469999999999995,312.8448894013632,206.54709075143234,9885.898505083078,6526.888067745262
all_to_all_graph11_n64_d0p3,64,0.3,10,0.01599999999999997,0.026299999999999962,856.5430850371051,518.3661447526563,27066.761487172524,16380.37017418394
all_to_all_graph12_n64_d0p3,64,0.3,10,0.014299999999999952,0.01789999999999998,959.1952818847121,764.8876823121908,30310.570907556903,24170.45076106523
all_to_all_graph13_n64_d0p3,64,0.3,10,0.02149999999999997,0.02909999999999997,635.6491085761577,467.8180584594472,20086.511831006585,14783.05064731853
all_to_all_graph14_n64_d0p3,64,0.3,10,0.02809999999999998,0.05069999999999997,484.71461060886844,265.5276224799671,15316.981695240243,8390.67287036696
all_to_all_graph15_n64_d0p3,64,0.3,10,0.017199999999999972,0.03209999999999996,796.2996283331054,423.4444197461274,25163.068255326132,13380.843663977626
all_to_all_graph16_n64_d0p3,64,0.3,10,0.008399999999999951,0.0107,1637.7861708815396,1284.2490705596772,51754.042999856654,40582.2706296858
all_to_all_graph17_n64_d0p3,64,0.3,10,0.018199999999999942,0.025299999999999972,752.1650849942416,539.1303535286361,23768.416685818036,17036.5191715049
