problem,N,density,N_shuffles,mean_raw_SR99_pert,mean_post_SR99_pert,post_SR99_pert_gain
all_to_all_graph0_n16_d0p1,16,0.1,10,0.27609999999999996,0.6172,2.235421948569359
all_to_all_graph1_n16_d0p1,16,0.1,10,0.572,0.6855,1.1984265734265735
all_to_all_graph2_n16_d0p1,16,0.1,10,0.6789,0.679,1.0001472970982472
all_to_all_graph3_n16_d0p1,16,0.1,10,0.4822,0.4824,1.0004147656574036
all_to_all_graph4_n16_d0p1,16,0.1,10,0.1588,0.215,1.353904282115869
all_to_all_graph5_n16_d0p1,16,0.1,10,0.15039999999999998,0.29189999999999994,1.9408244680851063
all_to_all_graph6_n16_d0p1,16,0.1,10,0.1956,0.1956,1.0
all_to_all_graph7_n16_d0p1,16,0.1,10,0.49119999999999997,0.5052,1.0285016286644952
all_to_all_graph8_n16_d0p1,16,0.1,10,0.1407,0.17929999999999996,1.2743425728500353
all_to_all_graph9_n16_d0p1,16,0.1,10,0.27880000000000005,0.2827,1.0139885222381635
all_to_all_graph10_n16_d0p1,16,0.1,10,0.25029999999999997,0.30279999999999996,1.209748302037555
all_to_all_graph11_n16_d0p1,16,0.1,10,0.07529999999999996,0.1406,1.8671978751660037
all_to_all_graph12_n16_d0p1,16,0.1,10,0.10609999999999997,0.1325,1.2488218661639967
all_to_all_graph13_n16_d0p1,16,0.1,10,0.02739999999999998,0.24889999999999998,9.083941605839422
all_to_all_graph14_n16_d0p1,16,0.1,10,0.23739999999999997,0.2855,1.2026116259477675
all_to_all_graph15_n16_d0p1,16,0.1,10,0.44209999999999994,0.5013,1.133906356028048
all_to_all_graph16_n16_d0p1,16,0.1,10,0.22979999999999995,0.24229999999999996,1.0543951261966928
all_to_all_graph17_n16_d0p1,16,0.1,10,0.1803,0.27369999999999994,1.5180255130338323
all_to_all_graph18_n16_d0p1,16,0.1,10,0.18019999999999997,0.18019999999999997,1.0
all_to_all_graph19_n16_d0p1,16,0.1,10,0.3537,0.3669,1.037319762510602
all_to_all_graph0_n16_d0p3,16,0.3,10,0.2884,0.43679999999999997,1.5145631067961165
all_to_all_graph1_n16_d0p3,16,0.3,10,0.42750000000000005,0.5141,1.2025730994152046
all_to_all_graph2_n16_d0p3,16,0.3,10,0.34789999999999993,0.3509999999999999,1.0089106064961195
all_to_all_graph3_n16_d0p3,16,0.3,10,0.05989999999999999,0.1976,3.2988313856427385
all_to_all_graph4_n16_d0p3,16,0.3,10,0.20509999999999992,0.21589999999999998,1.0526572403705512
all_to_all_graph5_n16_d0p3,16,0.3,10,0.357,0.5053,1.415406162464986
all_to_all_graph6_n16_d0p3,16,0.3,10,0.17569999999999997,0.23059999999999997,1.3124644280022766
all_to_all_graph7_n16_d0p3,16,0.3,10,0.15079999999999996,0.1668,1.1061007957559685
all_to_all_graph8_n16_d0p3,16,0.3,10,0.18189999999999998,0.21119999999999997,1.161077515118197
all_to_all_graph9_n16_d0p3,16,0.3,10,0.23929999999999998,0.24569999999999997,1.026744671959883
all_to_all_graph10_n16_d0p3,16,0.3,10,0.22719999999999993,0.37579999999999997,1.6540492957746482
all_to_all_graph11_n16_d0p3,16,0.3,10,0.0566,0.07869999999999996,1.3904593639575966
all_to_all_graph12_n16_d0p3,16,0.3,10,0.09719999999999995,0.18669999999999995,1.9207818930041156
all_to_all_graph13_n16_d0p3,16,0.3,10,0.06699999999999999,0.41719999999999996,6.226865671641791
all_to_all_graph14_n16_d0p3,16,0.3,10,0.15549999999999997,0.2744,1.764630225080386
all_to_all_graph15_n16_d0p3,16,0.3,10,0.3807,0.3955,1.038875755187812
all_to_all_graph16_n16_d0p3,16,0.3,10,0.7078,0.7955,1.1239050579259677
all_to_all_graph17_n16_d0p3,16,0.3,10,0.10429999999999998,0.10449999999999997,1.0019175455417066
all_to_all_graph18_n16_d0p3,16,0.3,10,0.18249999999999994,0.19039999999999996,1.043287671232877
all_to_all_graph19_n16_d0p3,16,0.3,10,0.2746,0.3359,1.2232337946103422
all_to_all_graph0_n16_d0p5,16,0.5,10,0.5300999999999999,0.6195999999999999,1.1688360686662895
all_to_all_graph1_n16_d0p5,16,0.5,10,0.22239999999999993,0.3001999999999999,1.349820143884892
all_to_all_graph2_n16_d0p5,16,0.5,10,0.13169999999999998,0.2012,1.5277145026575552
all_to_all_graph3_n16_d0p5,16,0.5,10,0.29829999999999995,0.4741000000000001,1.5893395910157564
all_to_all_graph4_n16_d0p5,16,0.5,10,0.3202,0.4747,1.4825109306683324
all_to_all_graph5_n16_d0p5,16,0.5,10,0.17169999999999996,0.21039999999999998,1.225393127548049
all_to_all_graph6_n16_d0p5,16,0.5,10,0.24019999999999997,0.2419,1.0070774354704415
all_to_all_graph7_n16_d0p5,16,0.5,10,0.16639999999999996,0.175,1.0516826923076925
all_to_all_graph8_n16_d0p5,16,0.5,10,0.24669999999999997,0.2864,1.1609241994325092
all_to_all_graph9_n16_d0p5,16,0.5,10,0.35719999999999996,0.40199999999999997,1.1254199328107504
all_to_all_graph10_n16_d0p5,16,0.5,10,0.43079999999999996,0.4739999999999999,1.1002785515320332
all_to_all_graph11_n16_d0p5,16,0.5,10,0.18339999999999995,0.36369999999999997,1.98309705561614
all_to_all_graph12_n16_d0p5,16,0.5,10,0.29059999999999997,0.30589999999999995,1.0526496902959395
all_to_all_graph13_n16_d0p5,16,0.5,10,0.20699999999999993,0.36879999999999996,1.781642512077295
all_to_all_graph14_n16_d0p5,16,0.5,10,0.19949999999999998,0.21399999999999997,1.0726817042606516
all_to_all_graph15_n16_d0p5,16,0.5,10,0.19619999999999999,0.2976,1.5168195718654434
all_to_all_graph16_n16_d0p5,16,0.5,10,0.11239999999999999,0.21799999999999997,1.9395017793594307
all_to_all_graph17_n16_d0p5,16,0.5,10,0.4058,0.47969999999999996,1.1821094135041892
all_to_all_graph18_n16_d0p5,16,0.5,10,0.24119999999999994,0.3596,1.4908789386401329
all_to_all_graph19_n16_d0p5,16,0.5,10,0.16919999999999996,0.18759999999999996,1.1087470449172576
all_to_all_graph0_n16_d0p7,16,0.7,10,0.3214,0.48319999999999996,1.503422526446795
all_to_all_graph1_n16_d0p7,16,0.7,10,0.07759999999999996,0.3005999999999999,3.8737113402061865
all_to_all_graph2_n16_d0p7,16,0.7,10,0.38709999999999994,0.4574,1.1816068199431673
all_to_all_graph3_n16_d0p7,16,0.7,10,0.16979999999999998,0.34199999999999997,2.0141342756183747
all_to_all_graph4_n16_d0p7,16,0.7,10,0.44089999999999996,0.6295999999999999,1.4279882059423905
all_to_all_graph5_n16_d0p7,16,0.7,10,0.4769,0.5153,1.0805200251625078
all_to_all_graph6_n16_d0p7,16,0.7,10,0.25129999999999997,0.2522,1.0035813768404298
all_to_all_graph7_n16_d0p7,16,0.7,10,0.16089999999999996,0.16109999999999997,1.0012430080795525
all_to_all_graph8_n16_d0p7,16,0.7,10,0.5894999999999999,0.6739999999999999,1.1433418150975403
all_to_all_graph9_n16_d0p7,16,0.7,10,0.37509999999999993,0.5488999999999999,1.4633431085043989
