step,time_s,gradient_descent_only_H,sis_elp_H,pi_elp_H
0,0.0,370.0,370.0,370.0
1,1e-11,370.0,370.0,370.0
2,2e-11,370.0,370.0,370.0
3,3e-11,370.0,370.0,370.0
4,4e-11,370.0,370.0,370.0
5,5e-11,370.0,370.0,370.0
6,6e-11,370.0,370.0,370.0
7,6.999999999999999e-11,370.0,370.0,370.0
8,8e-11,370.0,370.0,370.0
9,9e-11,370.0,370.0,370.0
10,9.999999999999999e-11,370.0,370.0,370.0
11,1.1e-10,370.0,370.0,370.0
12,1.2e-10,370.0,370.0,370.0
13,1.3e-10,370.0,370.0,370.0
14,1.4e-10,370.0,370.0,370.0
15,1.5e-10,370.0,370.0,370.0
16,1.6e-10,370.0,370.0,370.0
17,1.7e-10,370.0,370.0,370.0
18,1.8e-10,370.0,370.0,370.0
19,1.9e-10,370.0,370.0,370.0
20,2e-10,370.0,370.0,370.0
21,2.1e-10,370.0,370.0,370.0
22,2.2e-10,370.0,370.0,370.0
23,2.3e-10,370.0,370.0,370.0
24,2.4e-10,370.0,370.0,370.0
25,2.5e-10,370.0,370.0,370.0
26,2.6e-10,370.0,370.0,370.0
27,2.7e-10,370.0,370.0,370.0
28,2.8e-10,370.0,370.0,370.0
29,2.9e-10,370.0,370.0,370.0
30,3e-10,370.0,370.0,370.0
31,3.1e-10,370.0,370.0,370.0
32,3.2e-10,370.0,370.0,370.0
33,3.3e-10,370.0,370.0,370.0
34,3.4e-10,370.0,370.0,370.0
35,3.5e-10,370.0,370.0,370.0
36,3.6e-10,370.0,370.0,370.0
37,3.7e-10,370.0,370.0,370.0
38,3.8e-10,370.0,370.0,370.0
39,3.9e-10,370.0,370.0,370.0
40,4e-10,370.0,370.0,370.0
41,4.1e-10,370.0,370.0,370.0
42,4.2e-10,370.0,370.0,370.0
43,4.3e-10,370.0,370.0,370.0
44,4.4e-10,370.0,370.0,370.0
45,4.5e-10,370.0,370.0,370.0
46,4.6e-10,370.0,370.0,370.0
47,4.699999999999999e-10,370.0,370.0,370.0
48,4.8e-10,370.0,370.0,370.0
49,4.9e-10,370.0,370.0,370.0
50,4.999999999999999e-10,370.0,370.0,370.0
51,5.1e-10,370.0,370.0,370.0
52,5.2e-10,370.0,370.0,370.0
53,5.299999999999999e-10,370.0,370.0,370.0
54,5.4e-10,370.0,370.0,370.0
55,5.5e-10,370.0,370.0,370.0
56,5.599999999999999e-10,370.0,370.0,370.0
57,5.7e-10,370.0,370.0,370.0
58,5.8e-10,370.0,370.0,370.0
59,5.899999999999999e-10,370.0,370.0,370.0
60,6e-10,370.0,370.0,370.0
61,6.1e-10,370.0,370.0,370.0
62,6.199999999999999e-10,370.0,370.0,370.0
63,6.3e-10,370.0,370.0,370.0
64,6.4e-10,370.0,370.0,370.0
65,6.499999999999999e-10,370.0,370.0,370.0
66,6.6e-10,370.0,370.0,370.0
67,6.7e-10,370.0,370.0,370.0
68,6.799999999999999e-10,370.0,370.0,370.0
69,6.9e-10,370.0,370.0,370.0
70,7e-10,370.0,370.0,370.0
71,7.099999999999999e-10,370.0,370.0,370.0
72,7.2e-10,370.0,370.0,370.0
73,7.3e-10,370.0,370.0,370.0
74,7.399999999999999e-10,370.0,370.0,370.0
75,7.5e-10,370.0,370.0,370.0
76,7.6e-10,370.0,370.0,370.0
77,7.699999999999999e-10,370.0,370.0,370.0
78,7.8e-10,370.0,370.0,370.0
79,7.9e-10,370.0,370.0,370.0
80,7.999999999999999e-10,370.0,370.0,370.0
81,8.1e-10,370.0,370.0,370.0
82,8.2e-10,370.0,370.0,370.0
83,8.299999999999999e-10,370.0,370.0,370.0
84,8.4e-10,370.0,370.0,370.0
85,8.5e-10,370.0,370.0,370.0
86,8.599999999999999e-10,370.0,370.0,370.0
87,8.7e-10,370.0,370.0,370.0
88,8.8e-10,370.0,370.0,370.0
89,8.899999999999999e-10,370.0,370.0,370.0
90,9e-10,370.0,370.0,370.0
91,9.1e-10,370.0,370.0,370.0
92,9.199999999999999e-10,370.0,370.0,370.0
93,9.3e-10,370.0,370.0,370.0
94,9.399999999999999e-10,370.0,370.0,370.0
95,9.5e-10,370.0,370.0,370.0
96,9.6e-10,370.0,370.0,370.0
97,9.7e-10,370.0,370.0,370.0
98,9.8e-10,370.0,370.0,370.0
99,9.899999999999999e-10,370.0,370.0,370.0
100,9.999999999999999e-10,370.0,370.0,370.0
101,1.01e-09,370.0,370.0,370.0
102,1.02e-09,370.0,370.0,370.0
103,1.03e-09,370.0,370.0,370.0
104,1.04e-09,370.0,370.0,370.0
105,1.05e-09,370.0,370.0,370.0
106,1.06e-09,370.0,370.0,370.0
107,1.07e-09,370.0,370.0,370.0
108,1.08e-09,370.0,370.0,370.0
109,1.09e-09,370.0,370.0,370.0
110,1.1e-09,370.0,370.0,370.0
111,1.11e-09,370.0,370.0,370.0
112,1.12e-09,370.0,370.0,370.0
113,1.13e-09,370.0,370.0,370.0
114,1.14e-09,370.0,370.0,370.0
115,1.15e-09,370.0,370.0,370.0
116,1.16e-09,370.0,370.0,370.0
117,1.17e-09,370.0,370.0,370.0
118,1.18e-09,370.0,370.0,370.0
119,1.19e-09,370.0,370.0,370.0
120,1.2e-09,370.0,370.0,370.0
121,1.21e-09,370.0,370.0,370.0
122,1.22e-09,370.0,370.0,370.0
123,1.23e-09,370.0,370.0,370.0
124,1.24e-09,370.0,370.0,370.0
125,1.25e-09,370.0,370.0,370.0
126,1.26e-09,370.0,370.0,370.0
127,1.27e-09,370.0,370.0,370.0
128,1.28e-09,370.0,370.0,370.0
129,1.29e-09,370.0,370.0,370.0
130,1.3e-09,370.0,370.0,370.0
131,1.31e-09,370.0,370.0,370.0
132,1.32e-09,370.0,370.0,370.0
133,1.33e-09,370.0,370.0,370.0
134,1.34e-09,370.0,370.0,370.0
135,1.35e-09,370.0,370.0,370.0
136,1.36e-09,370.0,370.0,370.0
137,1.37e-09,370.0,370.0,370.0
138,1.38e-09,370.0,370.0,370.0
139,1.39e-09,370.0,370.0,370.0
140,1.4e-09,370.0,370.0,370.0
141,1.41e-09,370.0,370.0,370.0
142,1.42e-09,370.0,370.0,370.0
143,1.43e-09,370.0,370.0,370.0
144,1.44e-09,370.0,370.0,370.0
145,1.45e-09,370.0,370.0,370.0
146,1.46e-09,370.0,370.0,370.0
147,1.47e-09,370.0,370.0,370.0
148,1.48e-09,370.0,370.0,370.0
149,1.49e-09,370.0,370.0,370.0
150,1.5e-09,370.0,370.0,370.0
151,1.51e-09,370.0,370.0,370.0
152,1.52e-09,370.0,370.0,370.0
153,1.53e-09,370.0,370.0,370.0
154,1.54e-09,370.0,370.0,370.0
155,1.55e-09,370.0,370.0,370.0
156,1.56e-09,370.0,370.0,370.0
157,1.57e-09,370.0,370.0,370.0
158,1.58e-09,370.0,370.0,370.0
159,1.59e-09,370.0,370.0,370.0
160,1.6e-09,370.0,370.0,370.0
161,1.61e-09,370.0,370.0,370.0
162,1.62e-09,370.0,370.0,370.0
163,1.63e-09,370.0,370.0,370.0
164,1.64e-09,370.0,370.0,370.0
165,1.65e-09,370.0,370.0,370.0
