seed,gradient_descent_only_H,sis_elp_H,pi_elp_H
0,-2742,-2742,-3184
1,-2918,-3046,-2880
2,-2748,-3032,-2804
3,-2874,-2874,-3294
4,-2868,-2868,-2880
5,-2864,-2864,-3286
6,-2892,-2718,-3294
7,-3108,-3108,-3026
8,-2714,-2776,-3184
9,-3080,-3080,-2744
10,-3068,-3114,-2452
11,-3118,-3118,-3294
12,-3058,-3096,-2940
13,-2930,-2930,-3286
14,-3018,-3018,-2940
15,-2698,-2698,-3286
16,-2922,-2722,-2940
17,-3294,-3294,-2940
18,-3114,-3114,-3286
19,-3078,-3202,-2940
20,-2780,-2780,-3032
21,-3184,-3184,-3286
22,-3286,-3286,-3294
23,-2590,-2590,-2940
24,-2950,-2950,-2940
25,-3062,-3062,-2716
26,-3062,-3088,-2452
27,-3142,-3202,-3294
28,-3146,-2606,-3294
29,-3062,-2554,-3294
30,-3294,-3096,-3286
31,-2392,-2392,-3294
32,-2946,-3032,-3286
33,-3090,-2916,-2940
34,-3062,-3062,-3184
35,-2838,-2804,-2940
36,-3124,-2750,-2874
37,-3088,-3076,-2452
38,-2830,-3104,-3286
39,-2934,-2934,-3294
40,-2948,-2948,-3032
41,-2128,-2128,-2452
42,-2838,-2990,-3032
43,-3120,-2838,-2940
44,-2774,-2774,-3286
45,-2928,-2928,-3076
46,-3022,-2906,-3000
47,-2944,-2944,-2996
48,-3072,-3072,-3008
49,-3072,-3072,-2996
50,-3086,-2812,-3286
51,-3126,-3130,-2996
52,-2858,-2858,-2940
53,-3294,-3294,-2880
54,-3078,-3078,-2940
55,-3052,-3052,-2940
56,-2972,-2972,-3046
57,-3090,-3036,-3032
58,-2984,-2984,-2940
59,-3058,-3048,-2940
60,-3072,-2976,-2940
61,-3044,-3044,-2452
62,-2978,-2978,-2940
63,-2542,-2542,-2452
64,-2848,-2848,-3286
65,-2908,-2908,-2452
66,-3080,-3070,-3294
67,-2912,-2912,-2452
68,-2842,-2792,-3184
69,-2396,-3026,-3294
70,-2854,-2854,-3286
71,-2756,-3026,-3294
72,-2952,-2974,-2738
73,-3286,-3286,-3294
74,-3086,-2652,-3184
75,-2856,-2988,-2940
76,-3028,-3048,-3286
77,-3012,-3012,-3064
78,-2548,-2544,-3184
79,-3132,-3132,-2940
80,-3090,-3090,-2804
81,-3080,-3080,-3294
82,-3022,-3022,-2896
83,-2742,-2742,-3294
84,-2972,-2972,-3294
85,-3120,-3120,-3286
86,-3286,-3286,-2726
87,-3184,-3184,-2940
88,-3180,-2834,-2452
89,-2960,-2960,-3032
90,-2748,-2748,-3286
91,-3126,-3294,-2868
92,-2892,-2762,-3294
93,-2598,-2958,-2682
94,-2940,-2940,-2940
95,-2956,-2956,-2940
96,-2952,-3202,-2940
97,-2810,-2810,-3294
98,-3070,-3008,-3294
99,-2844,-2844,-2996
100,-3096,-3096,-2452
