seed,H_eta_0,H_eta_0p1,H_eta_0p2,H_eta_0p3,H_eta_0p4,H_eta_0p5
0,-2742,-3046,-3294,-3184,-2996,-2996
1,-2918,-3016,-3294,-2880,-2996,-2996
2,-2748,-2954,-2894,-2804,-2996,-2996
3,-2874,-3042,-2862,-3294,-3294,-2996
4,-2868,-3146,-3036,-2880,-3294,-2996
5,-2864,-3108,-2956,-3286,-3294,-2996
6,-2892,-2684,-3294,-3294,-2996,-2996
7,-3108,-3108,-3058,-3026,-2996,-2996
8,-2714,-2776,-2996,-3184,-2996,-2996
9,-3080,-3080,-3004,-2744,-2996,-2996
10,-3068,-3294,-2996,-2452,-2996,-2996
11,-3118,-3048,-3036,-3294,-3294,-2996
12,-3058,-3048,-3032,-2940,-2996,-2996
13,-2930,-2860,-2696,-3286,-2996,-2996
14,-3018,-3184,-3032,-2940,-3294,-2996
15,-2698,-2676,-2894,-3286,-2996,-2996
16,-2922,-2792,-2896,-2940,-2996,-2996
17,-3294,-2860,-3184,-2940,-2996,-2996
18,-3114,-2710,-2892,-3286,-2996,-2996
19,-3078,-3102,-3102,-2940,-2996,-2996
20,-2780,-2792,-3018,-3032,-2996,-2996
21,-3184,-3184,-3032,-3286,-3294,-2996
22,-3286,-3286,-3286,-3294,-2996,-2996
23,-2590,-2604,-2914,-2940,-2996,-2996
24,-2950,-3184,-3032,-2940,-2996,-2996
25,-3062,-3104,-3080,-2716,-3026,-2996
26,-3062,-3062,-2680,-2452,-2996,-2996
27,-3142,-3142,-3294,-3294,-2996,-2996
28,-3146,-3116,-2658,-3294,-2996,-2996
29,-3062,-2974,-2974,-3294,-2996,-2996
30,-3294,-3294,-3294,-3286,-2996,-2996
31,-2392,-3088,-3036,-3294,-2996,-2996
32,-2946,-3076,-3098,-3286,-3294,-2996
33,-3090,-3016,-2944,-2940,-2996,-2996
34,-3062,-3104,-3026,-3184,-2996,-2996
35,-2838,-3050,-3184,-2940,-2996,-2996
36,-3124,-2916,-3036,-2874,-2996,-2996
37,-3088,-3286,-3294,-2452,-2996,-2996
38,-2830,-2752,-2680,-3286,-2996,-2996
39,-2934,-2960,-3052,-3294,-2996,-2996
40,-2948,-3090,-3032,-3032,-2996,-2996
41,-2128,-2596,-3086,-2452,-2996,-2996
42,-2838,-3146,-3092,-3032,-3294,-2996
43,-3120,-3120,-3036,-2940,-2996,-2996
44,-2774,-2912,-3294,-3286,-2996,-2996
45,-2928,-3026,-2930,-3076,-2996,-2996
46,-3022,-2908,-3016,-3000,-2996,-2996
47,-2944,-2862,-2872,-2996,-2996,-2996
48,-3072,-3072,-3032,-3008,-2996,-2996
49,-3072,-3072,-3294,-2996,-2996,-2996
50,-3086,-3104,-3098,-3286,-2996,-2996
51,-3126,-3294,-3286,-2996,-2996,-2996
52,-2858,-2972,-3184,-2940,-2996,-2996
53,-3294,-3294,-3294,-2880,-3294,-2996
54,-3078,-3102,-3058,-2940,-2996,-2996
55,-3052,-3078,-2990,-2940,-2996,-2996
56,-2972,-2970,-3018,-3046,-2996,-2996
57,-3090,-2804,-2894,-3032,-2996,-2996
58,-2984,-3062,-3032,-2940,-2996,-2996
59,-3058,-3048,-3032,-2940,-2996,-2996
60,-3072,-3032,-3032,-2940,-3026,-2996
61,-3044,-3044,-3294,-2452,-2996,-2996
62,-2978,-3072,-3032,-2940,-2996,-2996
63,-2542,-2506,-2932,-2452,-2996,-2996
64,-2848,-3064,-3096,-3286,-2996,-2996
65,-2908,-3184,-3018,-2452,-2996,-2996
66,-3080,-3104,-3062,-3294,-2996,-2996
67,-2912,-2924,-2914,-2452,-2996,-2996
68,-2842,-2564,-2832,-3184,-2996,-2996
69,-2396,-3092,-3294,-3294,-2996,-2996
70,-2854,-3000,-2938,-3286,-2996,-2996
71,-2756,-3294,-3294,-3294,-2996,-2996
72,-2952,-3008,-2952,-2738,-2996,-2996
73,-3286,-3286,-3286,-3294,-2996,-2996
74,-3086,-3086,-3090,-3184,-2996,-2996
75,-2856,-2940,-3086,-2940,-2996,-2996
76,-3028,-3146,-3294,-3286,-2996,-2996
77,-3012,-3012,-2860,-3064,-2996,-2996
78,-2548,-2728,-3294,-3184,-2996,-2996
79,-3132,-3162,-3142,-2940,-2996,-2996
80,-3090,-3028,-3078,-2804,-2996,-2996
81,-3080,-3080,-3004,-3294,-2996,-2996
82,-3022,-3072,-2932,-2896,-2996,-2996
83,-2742,-2786,-2956,-3294,-3294,-2996
84,-2972,-2972,-3000,-3294,-3294,-2996
85,-3120,-3120,-3180,-3286,-2996,-2996
86,-3286,-3286,-2894,-2726,-2996,-2996
87,-3184,-3184,-3032,-2940,-2996,-2996
88,-3180,-3180,-3048,-2452,-2996,-2996
89,-2960,-3028,-3146,-3032,-3294,-2996
90,-2748,-2708,-3018,-3286,-3294,-2996
91,-3126,-3286,-3294,-2868,-2996,-2996
92,-2892,-2892,-2956,-3294,-3294,-2996
93,-2598,-3084,-3088,-2682,-2996,-2996
94,-2940,-3120,-3026,-2940,-2996,-2996
95,-2956,-3032,-3032,-2940,-3026,-2996
96,-2952,-3058,-3058,-2940,-2996,-2996
97,-2810,-3046,-2956,-3294,-3294,-2996
98,-3070,-3024,-3294,-3294,-3294,-2996
99,-2844,-3092,-3292,-2996,-2996,-2996
100,-3096,-3104,-3080,-2452,-2996,-2996
101,-2836,-2942,-2898,-2896,-2996,-2996
102,-2892,-3012,-3294,-3294,-2996,-2996
103,-3146,-3020,-3080,-3184,-2996,-2996
104,-2632,-2698,-3058,-2940,-3294,-2996
105,-2934,-3038,-3036,-2452,-2996,-2996
106,-2680,-2990,-3048,-2896,-2996,-2996
107,-3032,-3032,-3036,-2452,-2996,-2996
108,-3146,-3048,-3046,-3294,-3294,-2996
109,-2914,-3120,-2932,-2940,-2996,-2996
110,-3022,-3016,-2996,-2452,-3026,-2996
111,-2948,-2934,-3022,-2848,-2996,-2996
112,-3092,-2834,-2938,-3000,-2996,-2996
113,-3046,-2974,-2862,-2896,-2996,-2996
114,-2904,-2904,-2932,-3184,-2996,-2996
115,-2816,-2926,-3032,-3184,-2996,-2996
116,-3078,-3140,-3286,-3184,-2996,-2996
117,-2674,-2652,-2760,-2996,-2996,-2996
118,-2822,-3090,-3032,-2940,-2996,-2996
119,-3002,-3024,-3052,-3294,-2996,-2996
120,-3064,-3064,-2932,-3184,-2996,-2996
121,-3132,-3292,-2978,-2940,-3026,-2996
122,-2554,-2674,-3026,-2896,-2996,-2996
123,-3202,-3202,-3294,-2452,-2996,-2996
124,-2720,-2916,-3058,-3286,-2996,-2996
125,-3012,-3008,-3058,-2452,-3026,-2996
126,-2354,-3018,-3052,-3286,-3294,-2996
127,-2802,-2630,-2880,-3294,-2996,-2996
128,-3016,-3180,-3120,-2940,-2996,-2996
129,-2910,-2948,-3104,-3026,-2996,-2996
130,-2824,-3070,-3064,-3064,-2996,-2996
131,-2860,-2786,-2832,-3184,-2996,-2996
132,-3062,-3062,-3018,-3286,-2996,-2996
133,-3008,-3100,-3294,-3294,-2996,-2996
134,-2152,-3104,-2760,-3184,-2996,-2996
135,-2682,-3076,-3062,-3286,-2996,-2996
136,-3162,-3140,-3140,-3052,-3294,-2996
137,-2714,-2714,-3062,-3286,-2996,-2996
138,-2690,-2860,-3034,-2452,-2996,-2996
139,-3114,-3134,-2990,-2940,-2996,-2996
140,-2778,-3034,-2932,-2452,-2996,-2996
141,-3202,-3202,-3294,-3294,-3294,-2996
142,-2936,-3072,-3032,-2940,-2996,-2996
143,-2940,-2954,-3184,-2940,-2996,-2996
144,-2996,-3184,-3048,-2896,-2996,-2996
145,-3044,-3294,-3294,-2940,-2996,-2996
146,-3294,-3294,-3294,-2880,-2996,-2996
147,-3000,-2994,-3048,-2896,-2996,-2996
148,-3090,-2916,-3088,-2996,-2996,-2996
149,-3068,-3202,-3294,-3000,-2996,-2996
150,-2782,-2814,-2842,-3294,-2996,-2996
151,-3058,-3058,-3064,-3078,-2996,-2996
152,-3002,-3024,-2722,-3286,-2996,-2996
153,-2842,-2842,-2842,-3184,-2996,-2996
154,-2658,-3096,-3054,-2940,-2996,-2996
155,-3022,-3042,-3286,-3286,-2996,-2996
156,-2952,-2936,-2956,-3052,-3294,-2996
157,-2912,-2912,-3086,-2452,-2996,-2996
158,-3184,-3184,-2910,-3046,-2996,-2996
159,-3032,-3048,-3184,-2940,-2996,-2996
160,-3092,-3050,-2974,-3012,-3294,-2996
161,-3044,-3146,-2928,-2940,-2996,-2996
